Hechos_Id,Año,Mes,Dia,Día Semana,Franja Horaria,Estación_Id
2018-0100,2018,Septiembre,20,Jueves,10,4
2018-0101,2018,Septiembre,21,Viernes,0,4
2018-0102,2018,Septiembre,21,Viernes,0,4
2018-0103,2018,Septiembre,27,Jueves,17,4
2018-0104,2018,Octubre,1,Lunes,8,4
2018-0105,2018,Octubre,3,Miércoles,18,4
2018-0106,2018,Octubre,4,Jueves,22,4
2018-0107,2018,Octubre,6,Sábado,14,4
2018-0108,2018,Octubre,9,Martes,14,4
2018-0109,2018,Octubre,10,Miércoles,22,4
2018-0110,2018,Octubre,13,Sábado,3,4
2018-0111,2018,Octubre,19,Viernes,12,4
2018-0112,2018,Octubre,24,Miércoles,9,4
2018-0113,2018,Octubre,25,Jueves,11,4
2018-0114,2018,Octubre,30,Martes,2,4
2018-0115,2018,Octubre,31,Miércoles,12,4
2018-0116,2018,Noviembre,1,Jueves,10,4
2018-0117,2018,Noviembre,4,Domingo,8,4
2018-0118,2018,Noviembre,5,Lunes,14,4
2018-0119,2018,Noviembre,5,Lunes,22,4
2018-0120,2018,Noviembre,9,Viernes,13,4
2018-0121,2018,Noviembre,9,Viernes,16,4
2018-0122,2018,Noviembre,12,Lunes,1,4
2018-0123,2018,Noviembre,12,Lunes,3,4
2018-0124,2018,Noviembre,15,Jueves,19,4
2018-0125,2018,Noviembre,16,Viernes,21,4
2018-0126,2018,Noviembre,18,Domingo,12,4
2018-0127,2018,Noviembre,19,Lunes,9,4
2018-0128,2018,Noviembre,25,Domingo,4,4
2018-0128,2018,Noviembre,25,Domingo,4,4
2018-0129,2018,Noviembre,28,Miércoles,4,4
2018-0130,2018,Diciembre,3,Lunes,3,1
2018-0131,2018,Diciembre,7,Viernes,19,1
2018-0132,2018,Diciembre,12,Miércoles,8,1
2018-0133,2018,Diciembre,12,Miércoles,14,1
2018-0134,2018,Diciembre,12,Miércoles,21,1
2018-0135,2018,Diciembre,18,Martes,14,1
2018-0136,2018,Diciembre,18,Martes,15,1
2018-0137,2018,Diciembre,18,Martes,20,1
2018-0138,2018,Diciembre,21,Viernes,9,1
2018-0139,2018,Diciembre,22,Sábado,6,1
2018-0140,2018,Diciembre,22,Sábado,8,1
2018-0141,2018,Diciembre,22,Sábado,17,1
2018-0142,2018,Diciembre,25,Martes,13,1
2018-0143,2018,Diciembre,29,Sábado,5,1
2019-0001,2019,Enero,8,Martes,8,1
2019-0002,2019,Enero,9,Miércoles,4,1
2019-0003,2019,Enero,12,Sábado,8,1
2019-0004,2019,Enero,14,Lunes,19,1
2019-0005,2019,Enero,19,Sábado,12,1
2019-0006,2019,Enero,23,Miércoles,5,1
2019-0007,2019,Enero,26,Sábado,19,1
2019-0008,2019,Enero,30,Miércoles,22,1
2019-0009,2019,Enero,31,Jueves,14,1
2019-0010,2019,Febrero,2,Sábado,7,1
2019-0010,2019,Febrero,2,Sábado,7,1
2019-0011,2019,Febrero,10,Domingo,1,1
2019-0012,2019,Febrero,17,Domingo,3,1
2019-0013,2019,Febrero,20,Miércoles,7,1
2019-0014,2019,Febrero,20,Miércoles,17,1
2019-0015,2019,Febrero,23,Sábado,6,1
2019-0016,2019,Febrero,24,Domingo,2,1
2019-0017,2019,Marzo,3,Domingo,7,2
2019-0018,2019,Marzo,3,Domingo,23,2
2019-0019,2019,Marzo,6,Miércoles,12,2
2019-0020,2019,Marzo,7,Jueves,21,2
