Hechos_Id,Número De Victimas,Fecha,Año,Mes,Dia,Día Semana,Estación,Hora,Franja Horaria,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Comuna,Barrio,Pos X,Pos Y,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Rango Etario
2016-0076,1,2016-06-13,2016,Junio,13,Lunes,Invierno,16:20:00,16,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,True,Comuna 15,Paternal,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,53,41-60
2016-0077,1,2016-06-13,2016,Junio,13,Lunes,Invierno,21:52:00,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",True,Comuna 1,San Nicolas,-58.3702777,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,76,61+
2016-0078,1,2016-06-13,2016,Junio,13,Lunes,Invierno,23:01:00,23,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,True,Comuna 3,Balvanera,-58.40491455,-34.6146383,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,30,26-40
2016-0079,1,2016-06-16,2016,Junio,16,Jueves,Invierno,17:13:00,17,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,True,Comuna 13,Nuñez,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,FEMENINO,51,41-60
2016-0080,1,2016-06-18,2016,Junio,18,Sábado,Invierno,06:42:00,6,AV GRAL PAZ Y AV RIVADAVIA,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 9,Liniers,-58.52927982,-34.63931752,AUTO-SD,AUTO,SD,CONDUCTOR,MASCULINO,60,61+
2016-0081,1,2016-06-22,2016,Junio,22,Miércoles,Invierno,07:42:00,7,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,"LARRALDE, CRISOLOGO AV.",True,Comuna 12,Saavedra,-58.4872106,-34.55904606,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,40,41-60
2016-0082,1,2016-06-27,2016,Junio,27,Lunes,Invierno,18:24:00,18,AV LA PLATA 2384,AVENIDA,LA PLATA AV.,False,Comuna 4,Nueva Pompeya,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,87,61+
2016-0083,1,2016-06-28,2016,Junio,28,Martes,Invierno,20:46:00,20,AV JUAN B ALBERDI Y PUAN,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,Comuna 6,Caballito,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,76,61+
2016-0084,1,2016-06-29,2016,Junio,29,Miércoles,Invierno,22:00:00,22,CARLOS PELLEGRINI Y TUCUMAN,CALLE,"PELLEGRINI, CARLOS",True,Comuna 1,San Nicolas,-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,57,41-60
2016-0085,1,2016-06-29,2016,Junio,29,Miércoles,Invierno,22:00:00,22,AVDA ITE FRANCISCO RABANAL & AVDA EREZCANO,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",True,Comuna 4,Nueva Pompeya,-58.42378834,-34.657341,MOTO-MOVIL,MOTO,OTRO,CONDUCTOR,MASCULINO,76,61+
