Hechos_Id,Número De Victimas,Fecha,Hora,Lugar Del Hecho,Cruce_Id,Tipo_Calle_Id,Comuna_Id,Participantes_Id,Víctima_Id,Acusado_Id,Rol_Id,Sexo_Id,Rango_Etario_Id,Edad
2016-0138,1,2016-10-27,20:30:00,AV CABILDO Y BLANCO ENCALADA,1,1,13,21,6,5,4,2,3,33
2016-0139,1,2016-10-28,23:00:00,AV PRESIDENTE FIGUEROA ALCORTA Y AV DORREGO,1,1,14,13,1,6,2,2,3,35
2016-0140,1,2016-10-31,02:58:00,AV JURAMENTO Y VUELTA DE OBLIGADO,1,1,13,24,7,2,2,1,2,20
2016-0142,1,2016-11-05,23:30:00,AV DEL LIBERTADOR Y AV RAMOS MEJIA,1,1,1,4,1,2,1,1,4,46
2016-0143,1,2016-11-06,04:41:00,AV 27 DE FEBRERO Y AV ESCALADA,1,1,8,3,1,0,1,1,3,35
2016-0144,1,2016-11-07,12:10:00,AV. ALTE. BROWN 984,2,1,4,9,3,2,3,1,5,83
2016-0145,1,2016-11-07,20:56:00,AV DEL LIBERTADOR Y LA PAMPA,1,1,13,1,1,1,1,1,3,39
2016-0146,1,2016-11-09,20:00:00,PICHINCHA Y AV BRASIL,1,1,4,9,3,2,3,2,3,29
2016-0147,1,2016-11-16,21:15:00,AV INDEPENDENCIA Y VIRREY CEVALLOS,1,1,1,25,8,2,2,1,4,55
2016-0148,1,2016-11-16,22:20:00,AV GARMENDIA 4895,2,1,15,13,1,6,1,1,1,3
2016-0150,1,2016-11-18,18:20:00,AV AMANCIO ALCORTA Y DIOGENES TABORDA,1,1,4,19,5,5,2,1,4,41
2016-0152,1,2016-11-23,21:10:00,AV PERITO MORENO Y ZUVIRIA,1,1,7,1,1,1,1,1,4,42
2016-0153,1,2016-11-25,15:42:00,ARAOZ Y AV CORDOBA,1,1,14,8,3,6,3,2,5,83
2016-0154,1,2016-11-26,14:14:00,AV GRAL PAZ 15200,2,2,8,13,1,6,1,1,3,38
2016-0155,1,2016-11-26,16:50:00,MADERO 900,2,3,10,7,3,1,3,2,3,29
2016-0156,1,2016-11-26,19:40:00,AV INDEPENDENCIA Y DEAN FUNES,1,1,3,4,1,2,1,1,2,23
2016-0157,1,2016-12-03,06:40:00,AV JUAN B JUSTO 5645,2,1,11,13,1,6,1,1,2,23
2016-0159,1,2016-12-04,07:21:00,AV 27 DE FEBRERO Y AV ESCALADA,1,1,8,17,2,0,1,1,2,23
2016-0160,1,2016-12-06,05:30:00,AUTOPISTA PERITO MORENO ALTURA VELZ,2,4,9,26,5,4,1,1,3,29
2016-0161,1,2016-12-06,07:22:00,AV SANTA FE Y GODOY CRUZ,1,1,14,9,3,2,3,1,4,50
2016-0162,1,2016-12-07,05:00:00,AV FEDERICO LACROZE Y AV FOREST,1,1,15,7,3,1,3,1,3,38
2016-0163,1,2016-12-10,07:30:00,AV GRAL PAZ Y AV GENERAL MOSCONI,1,2,0,1,1,1,1,1,2,23
2016-0164,1,2016-12-11,06:16:00,AV LA PLATA Y CNEL GREGORIO POMAR,1,1,4,10,2,1,1,1,3,29
2016-0165,1,2016-12-12,08:25:00,AV MARTIN GARCIA 300,2,1,4,23,6,2,4,1,3,37
2016-0168,1,2016-12-13,10:40:00,AV LA PLATA Y CNEL GREGORIO POMAR,1,1,4,1,1,1,1,1,4,43
2016-0169,1,2016-12-15,15:30:00,NUÑEZ Y AV RICARDO BALBIN,1,1,12,4,1,2,1,1,2,24
2016-0170,1,2016-12-19,17:10:00,AV GRAL PAZ 4500,2,2,12,1,1,1,2,1,2,21
2016-0171,1,2016-12-25,19:00:00,AU BUENOS AIRES - LA PLATA Y AU 25 DE MAYO,1,4,1,13,1,6,1,1,3,39
2016-0172,1,2016-12-26,08:00:00,AV GARAY Y CASTRO,1,1,5,6,1,5,1,1,3,38
2016-0173,1,2016-12-26,19:52:00,AV DIRECTORIO Y AV SAN PEDRITO,1,1,7,6,1,5,1,1,3,35
2016-0174,1,2016-12-27,00:00:00,AUTOPISTA 25 DE MAYO,2,4,0,0,0,0,1,1,1,3
2016-0175,1,2016-12-27,08:15:00,CNEL RAMON L FALCON Y MEMBRILLAR,1,3,7,27,3,9,3,2,5,65
2016-0176,1,2016-12-28,01:41:00,AV BELGRANO Y AV PASEO COLON,1,1,1,4,1,2,1,1,3,28
2016-0177,1,2016-12-29,04:00:00,ARENALES 3319,2,3,14,7,3,1,3,2,3,27
2016-0178,1,2016-12-30,16:18:00,REPUBLICA BOLIVARIANA DE VENEZUELA Y SAAVEDRA,1,3,3,14,3,7,3,2,1,7
2017-0001,1,2017-01-02,01:00:00,AV. JUAN B JUSTO Y ACHUPALLAS,1,1,11,6,1,5,1,1,2,18
2017-0003,1,2017-01-05,03:10:00,OLAVARRIA Y AV. VELEZ SARSFIELD,1,1,4,19,5,5,2,1,3,33
2017-0007,1,2017-01-11,17:00:00,LIMA Y MEXICO,1,3,1,14,3,7,3,1,4,48
2017-0008,1,2017-01-16,00:40:00,JOSE A CABRERA Y BONPLAND,1,3,14,4,1,2,1,1,3,29
