Hechos_Id,Rol,Sexo,Edad,Rango Etario
2017-0118,PASAJERO_ACOMPAÑANTE,FEMENINO,26,26-40
2017-0120,CONDUCTOR,MASCULINO,20,19-25
2017-0123,PEATON,FEMENINO,36,26-40
2017-0124,CONDUCTOR,MASCULINO,51,41-60
2017-0125,CONDUCTOR,MASCULINO,29,26-40
2017-0126,PASAJERO_ACOMPAÑANTE,MASCULINO,39,26-40
2017-0126,CONDUCTOR,MASCULINO,36,26-40
2017-0127,PASAJERO_ACOMPAÑANTE,MASCULINO,24,19-25
2017-0128,PEATON,FEMENINO,60,61+
2017-0129,CONDUCTOR,MASCULINO,57,41-60
2017-0130,CONDUCTOR,MASCULINO,23,19-25
2017-0132,CONDUCTOR,MASCULINO,23,19-25
2017-0134,PEATON,FEMENINO,47,41-60
2017-0135,CONDUCTOR,MASCULINO,24,19-25
2017-0136,PEATON,MASCULINO,55,41-60
2017-0137,PEATON,FEMENINO,60,61+
2017-0138,PASAJERO_ACOMPAÑANTE,MASCULINO,25,26-40
2017-0139,PASAJERO_ACOMPAÑANTE,FEMENINO,15,0-18
2017-0140,CONDUCTOR,MASCULINO,24,19-25
2017-0141,PEATON,FEMENINO,22,19-25
2017-0143,CONDUCTOR,MASCULINO,50,41-60
2017-0144,PASAJERO_ACOMPAÑANTE,FEMENINO,50,41-60
2017-0145,CONDUCTOR,MASCULINO,58,41-60
2017-0147,CONDUCTOR,MASCULINO,49,41-60
2017-0148,PEATON,FEMENINO,82,61+
2017-0149,PEATON,MASCULINO,13,0-18
2017-0150,PEATON,MASCULINO,56,41-60
2017-0151,PEATON,MASCULINO,23,19-25
2017-0152,CICLISTA,MASCULINO,19,19-25
2017-0153,PASAJERO_ACOMPAÑANTE,MASCULINO,50,41-60
2017-0153,CONDUCTOR,MASCULINO,30,26-40
2017-0154,PEATON,MASCULINO,76,61+
2017-0155,CONDUCTOR,MASCULINO,77,61+
2017-0157,CONDUCTOR,MASCULINO,53,41-60
2017-0158,CONDUCTOR,MASCULINO,32,26-40
2017-0159,CONDUCTOR,MASCULINO,27,26-40
2017-0160,PEATON,FEMENINO,30,26-40
2017-0161,PEATON,FEMENINO,30,26-40
2018-0001,PEATON,MASCULINO,83,61+
2018-0002,CICLISTA,FEMENINO,26,26-40
2018-0003,PEATON,FEMENINO,58,41-60
2018-0004,CONDUCTOR,MASCULINO,39,26-40
